Gene,Contrast,Estimate,Pr(>|t|),FDR
TLE6,Brain - Breast,-0.975835744,0.362487572,0.821003984
ARL1,Brain - Breast,-0.958114418,0.363066652,0.821003984
RBP1,Brain - Breast,1.544190334,0.362768591,0.821003984
KLF4,Brain - Breast,-1.350814898,0.363208158,0.821003984
RBM6,Brain - Breast,1.141521739,0.362972715,0.821003984
CFDP1,Brain - Breast,-0.779170463,0.362153677,0.821003984
OGFR,Brain - Breast,-1.112067299,0.362768696,0.821003984
NT5C3A,Brain - Breast,-1.766790689,0.362398792,0.821003984
CYP2W1,Brain - Breast,0.279812029,0.361886554,0.821003984
TMSB10,Brain - Breast,-0.159622289,0.361915743,0.821003984
PGGHG,Brain - Breast,-1.658865996,0.36323966,0.821003984
PSMA3,Brain - Breast,-1.360488201,0.362674508,0.821003984
RTN3,Brain - Breast,-1.100315102,0.362354459,0.821003984
ZNF148,Brain - Breast,-1.643240715,0.363284223,0.821003984
TUBB,Brain - Breast,-0.244704008,0.3634113,0.821031844
SNRPC,Brain - Breast,-0.671493669,0.363640979,0.821145698
ETS1,Brain - Breast,-1.326383922,0.363731919,0.821145698
WIPF2,Brain - Breast,1.514593953,0.36380599,0.821145698
G6PD,Brain - Breast,0.7474614,0.36967383,0.821219646
ALDH1A1,Brain - Breast,-1.73344778,0.369448172,0.821219646
C4orf3,Brain - Breast,-0.762670304,0.370863412,0.821219646
HSP90AA1,Brain - Breast,0.818789081,0.370388319,0.821219646
PUM1,Brain - Breast,-0.90857093,0.377128403,0.821219646
SRSF7,Brain - Breast,-0.634390758,0.370366614,0.821219646
FBXO7,Brain - Breast,1.525759773,0.370871579,0.821219646
ZNF704,Brain - Breast,1.470972204,0.368950494,0.821219646
SRSF5,Brain - Breast,-0.524303633,0.370688261,0.821219646
TYMS,Brain - Breast,-1.765218906,0.373404524,0.821219646
RNF169,Brain - Breast,1.249122682,0.365205627,0.821219646
BCAS3,Brain - Breast,-1.144199858,0.366028656,0.821219646
FAM13B,Brain - Breast,-0.887770286,0.370376437,0.821219646
MGAT1,Brain - Breast,-0.280596994,0.375418413,0.821219646
ELF4,Brain - Breast,-1.487713511,0.374776838,0.821219646
MAD2L2,Brain - Breast,1.257927061,0.365693989,0.821219646
ZNF385A,Brain - Breast,-0.784152061,0.376208651,0.821219646
ACIN1,Brain - Breast,-1.152641492,0.377428001,0.821219646
MTUS1,Brain - Breast,1.185967999,0.374059358,0.821219646
TTC39B,Brain - Breast,-1.644699062,0.37164522,0.821219646
CLDN11,Brain - Breast,1.440579337,0.37112518,0.821219646
PES1,Brain - Breast,-1.540829543,0.374094099,0.821219646
TBC1D22A,Brain - Breast,-1.361503643,0.364676796,0.821219646
CPD,Brain - Breast,1.178963758,0.366244166,0.821219646
FYB1,Brain - Breast,-1.471742918,0.373761309,0.821219646
GRK2,Brain - Breast,-0.689883667,0.367648841,0.821219646
CAV1,Brain - Breast,-1.521546271,0.3737352,0.821219646
CCND3,Brain - Breast,-1.332992697,0.375589061,0.821219646
JUN,Brain - Breast,0.905913571,0.366875195,0.821219646
MYD88,Brain - Breast,-1.11974224,0.37281532,0.821219646
NID1,Brain - Breast,-1.471525666,0.368523772,0.821219646
PFDN1,Brain - Breast,-1.190475449,0.374537835,0.821219646
CCL2,Brain - Breast,-1.428367585,0.365935794,0.821219646
SNRPA1,Brain - Breast,-0.741016757,0.369020854,0.821219646
SYK,Brain - Breast,-1.26027853,0.365508535,0.821219646
H2BC21,Brain - Breast,1.210081187,0.375784504,0.821219646
MBTPS1,Brain - Breast,-1.305537802,0.367043439,0.821219646
PRPF4B,Brain - Breast,-0.946746318,0.3671885,0.821219646
PLK3,Brain - Breast,-1.240269736,0.378068224,0.821219646
EMX1,Brain - Breast,1.172350207,0.366327385,0.821219646
HSPA9,Brain - Breast,0.788614083,0.369890265,0.821219646
NDUFB10,Brain - Breast,-0.957190046,0.365880822,0.821219646
MTA1,Brain - Breast,0.778231166,0.377988721,0.821219646
COX7A2L,Brain - Breast,-0.60602031,0.376840304,0.821219646
MYO1E,Brain - Breast,-1.575697576,0.376440241,0.821219646
SIAH2,Brain - Breast,1.132413753,0.365702765,0.821219646
BCL3,Brain - Breast,-1.074330423,0.368601891,0.821219646
ELK1,Brain - Breast,-0.639452195,0.365356373,0.821219646
CFL1,Brain - Breast,-0.166934954,0.372966426,0.821219646
LAD1,Brain - Breast,1.561795845,0.374833431,0.821219646
CTDSPL,Brain - Breast,-1.664172836,0.37313163,0.821219646
NET1,Brain - Breast,-1.419944674,0.36899783,0.821219646
MAN1A1,Brain - Breast,-1.290832866,0.376141952,0.821219646
PAICS,Brain - Breast,-0.994890759,0.377373791,0.821219646
VAMP5,Brain - Breast,-0.730165132,0.377327205,0.821219646
SNW1,Brain - Breast,1.052401095,0.364651549,0.821219646
ZNF346,Brain - Breast,-0.513873261,0.365721101,0.821219646
TM4SF1,Brain - Breast,1.140804637,0.376231971,0.821219646
SNX17,Brain - Breast,-0.911285015,0.368796768,0.821219646
MAML1,Brain - Breast,-1.361662481,0.370574912,0.821219646
ZBTB24,Brain - Breast,-1.362902139,0.375860383,0.821219646
TMBIM4,Brain - Breast,-0.792095463,0.376109533,0.821219646
CHMP5,Brain - Breast,-0.91841554,0.371413366,0.821219646
ZNF581,Brain - Breast,-1.599845556,0.37659727,0.821219646
FAM53C,Brain - Breast,1.285011625,0.376702824,0.821219646
THEM6,Brain - Breast,-1.423335635,0.37297662,0.821219646
INTS8,Brain - Breast,-1.358757719,0.375548036,0.821219646
TMEM126B,Brain - Breast,1.061843877,0.367646178,0.821219646
ANKIB1,Brain - Breast,1.376738723,0.371835678,0.821219646
MIEF1,Brain - Breast,1.532245894,0.36878034,0.821219646
ROBO4,Brain - Breast,-1.558227696,0.370236814,0.821219646
GSK3A,Brain - Breast,-0.974290526,0.369669358,0.821219646
RAB22A,Brain - Breast,1.406275704,0.375189637,0.821219646
GATAD2B,Brain - Breast,-1.056969818,0.374071203,0.821219646
PLSCR1,Brain - Breast,-0.792202088,0.374286821,0.821219646
YTHDC2,Brain - Breast,-1.246524119,0.368508352,0.821219646
C11orf80,Brain - Breast,-1.709466616,0.372931002,0.821219646
NUP85,Brain - Breast,-1.47633357,0.377713054,0.821219646
HM13,Brain - Breast,-0.770226125,0.373578642,0.821219646
LONP2,Brain - Breast,1.003981005,0.368145631,0.821219646
IFI27L2,Brain - Breast,-1.309237386,0.370954598,0.821219646
ZNF394,Brain - Breast,-1.286508187,0.372279419,0.821219646
DNAJC14,Brain - Breast,-0.718474992,0.374245384,0.821219646
CBX2,Brain - Breast,-1.457638644,0.371100442,0.821219646
ANKRD13A,Brain - Breast,-1.360992668,0.365123245,0.821219646
CAPS,Brain - Breast,0.969098368,0.371089003,0.821219646
FAM210B,Brain - Breast,-1.17684374,0.366475824,0.821219646
BCL2L14,Brain - Breast,-1.168270037,0.37263658,0.821219646
SFXN5,Brain - Breast,1.494605954,0.376939364,0.821219646
MAP3K7,Brain - Breast,1.05237278,0.371480311,0.821219646
CERS5,Brain - Breast,1.468513421,0.376312003,0.821219646
USP54,Brain - Breast,1.537379652,0.376618581,0.821219646
TBCEL,Brain - Breast,-1.266139251,0.369699663,0.821219646
CPNE2,Brain - Breast,1.501911649,0.374325922,0.821219646
ZDHHC20,Brain - Breast,-1.143488476,0.374293635,0.821219646
TAPT1,Brain - Breast,1.564703028,0.37770608,0.821219646
LRATD2,Brain - Breast,-0.990450733,0.377244403,0.821219646
GATC,Brain - Breast,-1.609020236,0.375702765,0.821219646
IL24,Brain - Breast,0.147415499,0.369494548,0.821219646
EMB,Brain - Breast,-1.389049633,0.373304255,0.821219646
HDDC3,Brain - Breast,-1.657208404,0.377639781,0.821219646
FAM199X,Brain - Breast,-1.40026867,0.377688485,0.821219646
HAUS1,Brain - Breast,-1.479563881,0.375967029,0.821219646
BZW2,Brain - Breast,1.140218585,0.363975012,0.821219646
ATP6V0E2,Brain - Breast,1.247997605,0.36689487,0.821219646
PLEKHA8,Brain - Breast,-1.50347344,0.365362449,0.821219646
FGFR1OP2,Brain - Breast,-0.890706693,0.377341105,0.821219646
ACAP3,Brain - Breast,-1.474980819,0.366876153,0.821219646
ANAPC11,Brain - Breast,-1.127503655,0.369189187,0.821219646
RPA3,Brain - Breast,-1.571217885,0.370745158,0.821219646
ATP2A2,Brain - Breast,-0.862403431,0.377752178,0.821219646
CFL2,Brain - Breast,-1.405683386,0.371926903,0.821219646
CPEB3,Brain - Breast,-1.459433075,0.37006216,0.821219646
ELAVL1,Brain - Breast,-1.041686015,0.373868737,0.821219646
H3C15,Brain - Breast,0.318560395,0.378070931,0.821219646
HIC1,Brain - Breast,1.741872961,0.368778567,0.821219646
PSMC3,Brain - Breast,-1.057803851,0.36593109,0.821219646
PSME3IP1,Brain - Breast,-1.275820085,0.375580981,0.821219646
RCC1L,Brain - Breast,1.115346761,0.365257281,0.821219646
WBP11,Brain - Breast,-1.29540195,0.375658139,0.821219646
ZNF430,Brain - Breast,-1.706001069,0.372049372,0.821219646
H3C13,Brain - Breast,-0.557207464,0.373897343,0.821219646
NOP9,Brain - Breast,-1.585989263,0.365493658,0.821219646
SAMHD1,Brain - Breast,-1.487263245,0.376486553,0.821219646
GATA3,Brain - Breast,1.245587425,0.379144693,0.821307986
TRPT1,Brain - Breast,1.33170628,0.378263239,0.821307986
AMIGO2,Brain - Breast,-1.605954186,0.378576019,0.821307986
ARPC3,Brain - Breast,-0.653367874,0.378999674,0.821307986
RALBP1,Brain - Breast,-1.266587439,0.379051754,0.821307986
TJP3,Brain - Breast,1.740716108,0.379068886,0.821307986
LIMCH1,Brain - Breast,1.419715423,0.378574217,0.821307986
CLEC10A,Brain - Breast,-1.252836936,0.378895326,0.821307986
ELF2,Brain - Breast,-1.512801806,0.378418292,0.821307986
BLOC1S1,Brain - Breast,-0.960142101,0.379349979,0.821503965
SEH1L,Brain - Breast,-1.452673076,0.380114309,0.821667033
DNAJB14,Brain - Breast,-1.46475104,0.379979712,0.821667033
ZNF444,Brain - Breast,-0.973556038,0.379823413,0.821667033
CMA1,Brain - Breast,-1.051627489,0.380099632,0.821667033
CLIP1,Brain - Breast,-0.952855199,0.379974909,0.821667033
DPYSL2,Brain - Breast,1.34295601,0.379880715,0.821667033
ESR1,Brain - Breast,1.734406327,0.381470516,0.82170386
INSR,Brain - Breast,0.864163246,0.381848628,0.82170386
PHKG2,Brain - Breast,1.482010497,0.381819163,0.82170386
P4HB,Brain - Breast,-0.512390347,0.382345751,0.82170386
ATP1B1,Brain - Breast,-0.16872492,0.381421575,0.82170386
MYADM,Brain - Breast,-0.511266321,0.384058028,0.82170386
PIP4K2C,Brain - Breast,-1.473442186,0.384058033,0.82170386
CCNA2,Brain - Breast,-1.342487178,0.382304479,0.82170386
ELOVL5,Brain - Breast,-0.734684224,0.38135093,0.82170386
LARP7,Brain - Breast,-1.348185945,0.383272112,0.82170386
CUEDC1,Brain - Breast,1.387750862,0.384283516,0.82170386
ZNF316,Brain - Breast,1.263437786,0.383660359,0.82170386
ITPR3,Brain - Breast,1.276072993,0.38250137,0.82170386
LTBP4,Brain - Breast,-0.954096508,0.382081282,0.82170386
CTSF,Brain - Breast,-1.385063159,0.383872839,0.82170386
CCNK,Brain - Breast,-0.709215712,0.38108035,0.82170386
CDKN1B,Brain - Breast,-1.010262748,0.380835079,0.82170386
AQP3,Brain - Breast,-1.542588618,0.38347634,0.82170386
POLRMT,Brain - Breast,1.328424881,0.380543624,0.82170386
E2F1,Brain - Breast,-1.485853611,0.380508999,0.82170386
NSF,Brain - Breast,-1.316213462,0.382189502,0.82170386
GTF3C5,Brain - Breast,-1.376906107,0.382369872,0.82170386
VPS4A,Brain - Breast,1.138443903,0.382909283,0.82170386
OSTM1,Brain - Breast,-1.283552322,0.381909576,0.82170386
ORMDL2,Brain - Breast,1.10369586,0.381964551,0.82170386
RBM25,Brain - Breast,-1.120701834,0.382547231,0.82170386
ZNF350,Brain - Breast,1.311955692,0.383469387,0.82170386
ACTR6,Brain - Breast,1.451707127,0.382181524,0.82170386
CENPU,Brain - Breast,-1.331010314,0.384380548,0.82170386
PDRG1,Brain - Breast,-1.529413483,0.381903981,0.82170386
CCDC13,Brain - Breast,-0.22419203,0.383121248,0.82170386
TMEM26,Brain - Breast,-1.323748105,0.382456731,0.82170386
WDFY3,Brain - Breast,1.357275785,0.383519579,0.82170386
FAAP20,Brain - Breast,-1.316031161,0.383124196,0.82170386
ECH1,Brain - Breast,1.323672883,0.38308954,0.82170386
PALLD,Brain - Breast,-1.213961436,0.384157357,0.82170386
PRXL2B,Brain - Breast,0.967946024,0.383801298,0.82170386
SEPTIN8,Brain - Breast,1.21593834,0.385284769,0.821866626
RNF145,Brain - Breast,-1.298977165,0.384931855,0.821866626
MEF2D,Brain - Breast,-0.806954214,0.385069762,0.821866626
PLK1,Brain - Breast,1.24580817,0.385387806,0.821866626
C19orf53,Brain - Breast,-0.742572508,0.38492852,0.821866626
KDM1A,Brain - Breast,-1.257755226,0.385209266,0.821866626
PLEKHO1,Brain - Breast,-0.754843078,0.385490482,0.821866626
POLE4,Brain - Breast,1.322824297,0.384749953,0.821866626
CCDC50,Brain - Breast,-1.347274755,0.384643809,0.821866626
FDPS,Brain - Breast,1.096412265,0.385714552,0.822099381
ATP1A1,Brain - Breast,-1.044086811,0.386896906,0.822414547
B4GALT2,Brain - Breast,-0.865670503,0.386729698,0.822414547
DCUN1D2,Brain - Breast,-1.374474691,0.386481439,0.822414547
PTOV1,Brain - Breast,0.808068048,0.38683884,0.822414547
STAT3,Brain - Breast,-0.724002676,0.386256296,0.822414547
TRA2B,Brain - Breast,-0.907576923,0.386655774,0.822414547
TOR1B,Brain - Breast,1.137908226,0.386029264,0.822414547
PPCS,Brain - Breast,1.311707674,0.386177227,0.822414547
CANX,Brain - Breast,-0.649012492,0.386547575,0.822414547
ATP11B,Brain - Breast,-1.011768485,0.387105084,0.822612675
CMTM3,Brain - Breast,-0.65262917,0.387783221,0.823587729
CCDC137,Brain - Breast,-0.46941767,0.387794138,0.823587729
TMEM14A,Brain - Breast,1.706746085,0.388131495,0.824059599
CIAO1,Brain - Breast,1.122229655,0.388337476,0.82425234
HIVEP2,Brain - Breast,-1.152660154,0.388793345,0.82449432
ZNF92,Brain - Breast,-1.35358639,0.388705135,0.82449432
MBNL2,Brain - Breast,-0.798830788,0.388797182,0.82449432
POLE3,Brain - Breast,-1.029740529,0.389289203,0.82529311
CSTB,Brain - Breast,-0.655061869,0.391683,0.825494232
ADGRL1,Brain - Breast,1.698086308,0.390276236,0.825494232
MAEA,Brain - Breast,1.251641902,0.39038222,0.825494232
DIDO1,Brain - Breast,-1.29276617,0.391599611,0.825494232
ATP6V1F,Brain - Breast,-0.453735339,0.39166046,0.825494232
PTPN1,Brain - Breast,-1.153396365,0.390947302,0.825494232
FXR2,Brain - Breast,-1.336964697,0.391850876,0.825494232
PSME3,Brain - Breast,-0.715442834,0.389994431,0.825494232
NCOR1,Brain - Breast,-1.255755631,0.390917798,0.825494232
CAVIN1,Brain - Breast,1.27729222,0.391922279,0.825494232
SLC35A3,Brain - Breast,-1.603039282,0.391065622,0.825494232
ARHGEF18,Brain - Breast,1.248197975,0.390801818,0.825494232
TRIR,Brain - Breast,-0.637302365,0.390211187,0.825494232
RBM42,Brain - Breast,-0.800669039,0.390584077,0.825494232
KLHL36,Brain - Breast,1.268124305,0.390320403,0.825494232
ZBTB46,Brain - Breast,-1.386290301,0.391024815,0.825494232
PHF10,Brain - Breast,1.36004757,0.391214363,0.825494232
KIFC2,Brain - Breast,1.227709176,0.391729391,0.825494232
MOB4,Brain - Breast,-1.429578551,0.391647057,0.825494232
ACSL5,Brain - Breast,-1.415501767,0.390383963,0.825494232
CKS2,Brain - Breast,-1.237081966,0.389555291,0.825494232
SLC25A52,Brain - Breast,-0.847914919,0.391454653,0.825494232
ARSA,Brain - Breast,1.63061579,0.39215542,0.825577727
STX5,Brain - Breast,-0.97729654,0.392293653,0.825577727
DAZAP1,Brain - Breast,0.913802215,0.392308074,0.825577727
HADHB,Brain - Breast,-0.915219882,0.392688342,0.825892149
ATP5PB,Brain - Breast,-0.818424735,0.39258309,0.825892149
DGKZ,Brain - Breast,1.106674726,0.392849533,0.825988365
SLC33A1,Brain - Breast,-1.281139422,0.393056276,0.82600277
CALM1,Brain - Breast,-0.468939131,0.393234175,0.82600277
GPATCH2L,Brain - Breast,-1.346010343,0.393427445,0.82600277
ASAP1,Brain - Breast,-1.222996463,0.393433604,0.82600277
PABIR1,Brain - Breast,-1.27071056,0.393349027,0.82600277
FXYD3,Brain - Breast,1.484605481,0.393633315,0.826179632
KIAA0040,Brain - Breast,-1.473543002,0.394351325,0.826888017
FABP5,Brain - Breast,-1.106198796,0.395062243,0.826888017
SIAH1,Brain - Breast,-1.363132545,0.394394192,0.826888017
PLCB2,Brain - Breast,-1.54073599,0.39475826,0.826888017
RRBP1,Brain - Breast,-0.981469353,0.394820034,0.826888017
ARPC5,Brain - Breast,-0.484852067,0.39504299,0.826888017
FLVCR1,Brain - Breast,-1.259115455,0.395034282,0.826888017
RNF11,Brain - Breast,-0.976758368,0.395180337,0.826888017
MTDH,Brain - Breast,-0.496103262,0.395192705,0.826888017
UACA,Brain - Breast,1.457319607,0.394587469,0.826888017
BCL11B,Brain - Breast,-1.459189355,0.395242071,0.826888017
DAPK3,Brain - Breast,1.055354292,0.395690802,0.827584826
MAGEA4,Brain - Breast,-0.724873036,0.396177466,0.827835956
TMEM258,Brain - Breast,-0.901303371,0.396166489,0.827835956
OSBPL2,Brain - Breast,-1.417579232,0.396273676,0.827835956
SH3GLB1,Brain - Breast,-0.614859562,0.396068122,0.827835956
TIPRL,Brain - Breast,1.207228704,0.396757939,0.827882049
PAPSS1,Brain - Breast,-1.169543698,0.396678254,0.827882049
GNL2,Brain - Breast,-1.483420632,0.396758567,0.827882049
MARK2,Brain - Breast,-0.988636809,0.396442497,0.827882049
GRAMD2B,Brain - Breast,1.317746163,0.397583285,0.828354729
CALCRL,Brain - Breast,1.418889963,0.397679734,0.828354729
COPZ1,Brain - Breast,-0.603525973,0.397579079,0.828354729
CRAMP1,Brain - Breast,1.262015251,0.397648814,0.828354729
NABP1,Brain - Breast,-1.317456261,0.397232177,0.828354729
SSR2,Brain - Breast,0.589774096,0.397446249,0.828354729
EXOSC3,Brain - Breast,0.829556324,0.39885764,0.828550969
SMIM15,Brain - Breast,-0.943249782,0.398413805,0.828550969
ZNF587,Brain - Breast,-0.493340096,0.398467598,0.828550969
DXO,Brain - Breast,-1.571733658,0.399015941,0.828550969
SLC2A1,Brain - Breast,1.319463365,0.398075482,0.828550969
LEMD3,Brain - Breast,1.274480854,0.398292613,0.828550969
ALKBH5,Brain - Breast,-0.841946153,0.398665549,0.828550969
EDEM3,Brain - Breast,1.177043814,0.399047748,0.828550969
BTBD6,Brain - Breast,0.169398526,0.398369446,0.828550969
HSPB8,Brain - Breast,-1.664307924,0.399040287,0.828550969
TATDN1,Brain - Breast,-1.198087588,0.398774223,0.828550969
SDHB,Brain - Breast,-0.866793947,0.399331585,0.828899765
SLAMF8,Brain - Breast,-1.678290233,0.399785501,0.82936076
CXorf38,Brain - Breast,-1.447787448,0.399772517,0.82936076
KRTAP5-1,Brain - Breast,-1.384653841,0.400657952,0.829487165
GLRA1,Brain - Breast,0.743020039,0.400641066,0.829487165
ZNF736,Brain - Breast,-1.129525281,0.400043836,0.829487165
SRSF10,Brain - Breast,-1.224032376,0.400618515,0.829487165
ARRB2,Brain - Breast,-0.745662719,0.400185613,0.829487165
MRPS33,Brain - Breast,-1.170879767,0.400480343,0.829487165
LENG8,Brain - Breast,-0.214258012,0.400309268,0.829487165
NUP188,Brain - Breast,-1.270005733,0.400965156,0.829883046
CITED2,Brain - Breast,-0.723146173,0.401383375,0.83018023
ECI2,Brain - Breast,-0.927944173,0.401456827,0.83018023
TEX2,Brain - Breast,-1.088801922,0.401438268,0.83018023
MRPS30,Brain - Breast,1.249390883,0.401902239,0.830751053
MRPL18,Brain - Breast,-1.207532909,0.40196508,0.830751053
S100A13,Brain - Breast,0.605651213,0.40441737,0.831070122
PLAA,Brain - Breast,-1.36372843,0.40471122,0.831070122
FAM172A,Brain - Breast,-1.425411169,0.40407571,0.831070122
ATP6V1A,Brain - Breast,1.350347703,0.402608682,0.831070122
HRK,Brain - Breast,-0.987112046,0.404415642,0.831070122
NDUFS6,Brain - Breast,-0.797646208,0.404534189,0.831070122
ACTN4,Brain - Breast,0.223892052,0.403348041,0.831070122
CNIH1,Brain - Breast,-0.701199924,0.403953322,0.831070122
SF3B4,Brain - Breast,-1.330864375,0.40237666,0.831070122
SNAPIN,Brain - Breast,-1.26394521,0.402566089,0.831070122
WSB1,Brain - Breast,0.450920055,0.403403085,0.831070122
FBXO11,Brain - Breast,1.018704222,0.402662834,0.831070122
NDUFA12,Brain - Breast,1.305083824,0.404376386,0.831070122
FBXO42,Brain - Breast,1.377633986,0.402843346,0.831070122
CTNNBL1,Brain - Breast,-1.194514211,0.402900573,0.831070122
NAXE,Brain - Breast,-0.863050681,0.404065173,0.831070122
UBAC2,Brain - Breast,-1.282599936,0.403824906,0.831070122
NAALADL2,Brain - Breast,1.444549492,0.404291712,0.831070122
KLHDC3,Brain - Breast,-0.956580045,0.404559569,0.831070122
EBPL,Brain - Breast,-1.224465232,0.403608831,0.831070122
ADCY7,Brain - Breast,0.836613873,0.404790968,0.831070122
PGP,Brain - Breast,-1.343675717,0.403021619,0.831070122
EIF2S3B,Brain - Breast,-0.467654356,0.403120512,0.831070122
GSE1,Brain - Breast,1.114474177,0.405103467,0.831473123
OCIAD1,Brain - Breast,-0.591880748,0.405764804,0.832591675
UBXN2B,Brain - Breast,1.339361775,0.406127199,0.833096361
IFIH1,Brain - Breast,-1.26751446,0.406252046,0.83311361
NF1,Brain - Breast,-1.356782518,0.406641166,0.833478129
POMP,Brain - Breast,-0.631769544,0.406662774,0.833478129
TSPAN14,Brain - Breast,0.711227909,0.406965433,0.833620862
MAP7,Brain - Breast,1.505082237,0.406906412,0.833620862
CDC73,Brain - Breast,-0.683852974,0.407275926,0.834018102
ADAM9,Brain - Breast,-1.264893622,0.407844044,0.834061971
AZI2,Brain - Breast,-1.015097401,0.408282785,0.834061971
TUT7,Brain - Breast,-1.089771557,0.407975256,0.834061971
CASP10,Brain - Breast,-1.450049715,0.408543885,0.834061971
BLCAP,Brain - Breast,-1.052939317,0.408579624,0.834061971
HARS2,Brain - Breast,1.201110575,0.408239018,0.834061971
S100A6,Brain - Breast,-0.239887512,0.407731619,0.834061971
PPME1,Brain - Breast,1.340300155,0.408535398,0.834061971
BARHL2,Brain - Breast,-0.707199179,0.407924635,0.834061971
FCMR,Brain - Breast,-1.399524589,0.408152347,0.834061971
MAP1LC3B,Brain - Breast,0.583446961,0.408020811,0.834061971
ATP6V0B,Brain - Breast,0.157755168,0.408923674,0.834423955
LARP1,Brain - Breast,-1.087044933,0.40899019,0.834423955
ADIPOR2,Brain - Breast,-1.091652628,0.409246041,0.834707931
NDUFA4,Brain - Breast,-0.47711135,0.409645958,0.835047529
FBXW4,Brain - Breast,-1.141697182,0.40953884,0.835047529
PRMT2,Brain - Breast,0.81348703,0.410157435,0.835852021
PPIF,Brain - Breast,-0.991797854,0.410435567,0.835966141
TRABD,Brain - Breast,-1.071051467,0.410447107,0.835966141
CORO1C,Brain - Breast,-0.714868679,0.41191403,0.836333049
MYC,Brain - Breast,-1.027468289,0.410833791,0.836333049
ARHGAP35,Brain - Breast,-1.171679592,0.412263685,0.836333049
IFNGR2,Brain - Breast,-0.454709136,0.411344438,0.836333049
TERF2,Brain - Breast,-1.175741331,0.41116603,0.836333049
TUSC3,Brain - Breast,1.602100936,0.411456001,0.836333049
ISCU,Brain - Breast,-0.609635123,0.411233303,0.836333049
ARAP2,Brain - Breast,-1.511064669,0.411661707,0.836333049
EMC3,Brain - Breast,-1.122612418,0.411420044,0.836333049
SHLD2,Brain - Breast,1.172454112,0.412137498,0.836333049
CEP128,Brain - Breast,-1.421171809,0.412176597,0.836333049
SPARC,Brain - Breast,0.630979727,0.411114467,0.836333049
HLA-DQB2,Brain - Breast,1.331737004,0.412126436,0.836333049
SHB,Brain - Breast,1.245113567,0.411859212,0.836333049
USP5,Brain - Breast,1.16211945,0.412546585,0.836432648
TCAF1,Brain - Breast,1.48394562,0.412526466,0.836432648
APLP2,Brain - Breast,0.163553324,0.412686657,0.836479612
TIMP3,Brain - Breast,-0.716287359,0.415391052,0.83686882
GGA1,Brain - Breast,-1.135284249,0.417531923,0.83686882
RBPMS,Brain - Breast,1.393290623,0.420620144,0.83686882
VPS13C,Brain - Breast,-1.037828005,0.414891033,0.83686882
SPECC1,Brain - Breast,1.549733743,0.416587464,0.83686882
TCERG1,Brain - Breast,1.195000478,0.415516004,0.83686882
UBXN11,Brain - Breast,-1.12015676,0.418682783,0.83686882
ECPAS,Brain - Breast,-0.766120719,0.415237814,0.83686882
KDM6B,Brain - Breast,1.386398737,0.42023343,0.83686882
SPOCK2,Brain - Breast,-1.392685342,0.420012321,0.83686882
AFAP1,Brain - Breast,-1.379566597,0.419752763,0.83686882
CT47B1,Brain - Breast,-0.621851239,0.413922812,0.83686882
SH3YL1,Brain - Breast,-0.88019454,0.420742285,0.83686882
PPIE,Brain - Breast,-1.189497225,0.42050946,0.83686882
PPT2,Brain - Breast,-1.225747688,0.413816163,0.83686882
EPB41L1,Brain - Breast,1.258823093,0.417429368,0.83686882
SLC25A6,Brain - Breast,-0.15233388,0.417544657,0.83686882
COX7C,Brain - Breast,-0.803012059,0.414971239,0.83686882
FYN,Brain - Breast,1.162075343,0.413077655,0.83686882
MTX1,Brain - Breast,-1.228268937,0.415249536,0.83686882
PSMA4,Brain - Breast,-1.011169135,0.414808975,0.83686882
SH3BGRL,Brain - Breast,0.705709274,0.415846762,0.83686882
TIMP2,Brain - Breast,0.593633508,0.420533023,0.83686882
TRIP6,Brain - Breast,-1.479904012,0.413407397,0.83686882
UBE2V2,Brain - Breast,0.691080725,0.42095842,0.83686882
DPM1,Brain - Breast,-0.905802249,0.418443434,0.83686882
ST3GAL5,Brain - Breast,-1.36880013,0.415529392,0.83686882
MED14,Brain - Breast,-1.307920793,0.41998678,0.83686882
PCBP2,Brain - Breast,-0.125388899,0.420162981,0.83686882
POLR2K,Brain - Breast,1.026389885,0.418300967,0.83686882
RBL2,Brain - Breast,-1.040613096,0.415221602,0.83686882
G3BP1,Brain - Breast,0.172458952,0.418572669,0.83686882
SIVA1,Brain - Breast,-0.98898517,0.41937206,0.83686882
MYL12A,Brain - Breast,-0.608323398,0.413556859,0.83686882
CDC37,Brain - Breast,-0.417637785,0.421182916,0.83686882
LSM5,Brain - Breast,-1.334423605,0.416780905,0.83686882
RPS6KC1,Brain - Breast,-1.158812736,0.413663267,0.83686882
STAT5B,Brain - Breast,-1.16387714,0.419060123,0.83686882
WBP2,Brain - Breast,-1.054562186,0.419995222,0.83686882
NCKAP1,Brain - Breast,1.173020006,0.419307675,0.83686882
TNRC6A,Brain - Breast,-1.01339367,0.416622755,0.83686882
SAFB2,Brain - Breast,-1.260481127,0.418823864,0.83686882
HELZ,Brain - Breast,-1.157365304,0.417894766,0.83686882
ARID4B,Brain - Breast,-1.40376686,0.418434112,0.83686882
LRRC40,Brain - Breast,-1.39675366,0.417011709,0.83686882
IARS2,Brain - Breast,-1.093696976,0.417727961,0.83686882
CAMK2N1,Brain - Breast,0.594577851,0.421086372,0.83686882
PITHD1,Brain - Breast,-1.356169594,0.417797762,0.83686882
PHF1,Brain - Breast,1.264452885,0.416799079,0.83686882
NIPAL2,Brain - Breast,-1.060381343,0.418823504,0.83686882
