"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"TRIM22",1,3,2,6,5,6,5,3,3,2,5,6,5,6,0,3,1,4,0,5,4,4,9,11,7,2,33,4,16,8,1,4,14,9,2,9,0,5,30,15,23,6,19,2,9,6,5,12,11,8,19,2,8,28,29,10,12,3,12,6,43,11,7,61,4,35,12,5,10,7,19,12,5,8,10,5,21,22,8,9,30,16,17,11,45,9,10,4,11,25,5,21,3
"CITED2",1,3,2,1,0,1,3,1,6,1,3,4,1,3,3,2,1,3,1,6,2,1,3,0,20,8,7,1,4,27,10,1,0,3,7,14,3,1,1,6,2,1,18,4,12,3,3,9,3,2,1,2,27,27,16,7,16,5,2,2,2,7,38,26,7,5,5,8,5,4,8,7,30,3,5,5,6,17,8,17,9,5,5,8,8,5,5,5,1,9,6,5,3
"IRF9",5,3,0,2,1,4,5,1,5,2,8,5,3,0,3,2,3,1,2,2,3,0,3,4,13,3,11,1,6,11,26,2,1,5,15,14,2,2,4,5,2,10,6,4,6,7,6,6,3,6,7,4,9,24,10,2,2,6,7,4,5,3,14,11,7,8,6,5,15,8,18,10,16,8,8,6,6,8,9,10,6,7,7,9,9,7,7,1,3,15,6,4,1
"TUBB4B",9,2,4,2,3,10,5,0,1,1,5,9,1,1,1,9,5,1,3,0,4,0,7,5,14,28,11,8,6,22,99,2,2,4,52,16,5,2,5,6,5,4,11,1,12,19,6,10,3,3,2,1,18,26,5,6,10,26,6,5,2,6,49,10,21,8,1,1,1,6,10,13,37,2,5,4,10,32,5,5,9,6,21,18,6,12,8,4,9,18,8,7,3
"CEPT1",3,9,1,2,2,0,2,2,0,1,5,1,1,1,1,2,1,5,0,4,2,0,2,0,9,3,2,3,3,10,7,1,0,3,6,1,3,0,5,3,6,4,4,0,6,6,1,3,6,5,0,1,14,14,7,4,5,14,3,2,3,5,6,11,1,10,4,2,1,5,6,6,15,3,2,4,3,6,4,2,4,3,7,6,6,7,4,1,6,7,8,4,1
"WFDC2",2,1,0,2,2,0,3,3,1,0,9,1,2,0,0,1,0,2,0,3,0,2,2,0,12,20,19,1,4,13,43,0,0,0,48,6,1,1,1,1,1,0,3,5,3,3,7,0,0,0,0,0,13,20,1,4,1,3,1,0,0,1,13,97,5,2,2,0,0,0,6,3,93,3,17,0,1,2,1,5,6,3,2,2,2,7,2,25,0,12,1,3,4
"LUC7L3",5,11,1,2,2,5,9,6,5,1,1,13,3,2,3,2,2,2,5,4,6,3,6,6,7,10,25,5,10,19,51,6,4,6,24,11,3,4,7,11,8,3,13,1,15,4,10,10,6,4,2,5,27,29,8,9,10,5,11,5,8,4,28,12,10,6,3,4,3,10,27,17,31,4,16,2,22,21,8,12,11,7,40,60,15,25,5,9,10,24,11,9,4
"PRMT5",2,0,0,2,1,2,2,1,0,0,1,2,2,0,1,0,1,0,0,4,0,1,3,1,9,3,3,5,4,10,16,1,1,1,6,4,1,3,0,1,1,1,5,0,2,2,3,3,0,3,3,1,4,8,2,2,5,7,8,3,5,1,4,7,6,4,3,1,0,2,8,7,15,0,2,0,4,10,6,4,3,0,8,13,8,0,2,2,2,8,8,0,1
"ECI2",5,2,3,2,0,3,0,2,4,0,1,7,0,0,8,3,1,5,2,2,2,1,0,2,5,2,8,7,5,7,7,3,3,2,5,7,4,1,3,4,5,1,5,1,2,7,4,4,3,3,6,3,13,23,3,2,5,5,8,1,2,3,12,14,3,6,1,5,3,5,7,10,41,4,5,5,9,16,4,7,7,2,12,7,10,7,7,4,4,8,7,2,1
"HLA-DMA",9,5,3,5,5,3,5,1,5,0,8,4,2,7,1,2,0,3,4,6,4,2,2,9,8,3,22,2,17,8,24,4,1,6,8,11,0,3,16,13,8,9,24,2,3,2,2,23,11,11,8,1,15,15,43,3,11,9,26,7,8,11,11,89,13,23,6,5,11,5,26,14,10,12,10,0,16,16,4,5,35,6,12,24,33,3,5,4,7,20,9,22,3
"TMEM50B",13,13,11,5,4,16,12,4,13,8,11,22,6,7,16,8,10,8,5,4,10,7,12,9,32,27,39,23,11,44,68,6,0,13,32,18,7,9,30,17,16,15,28,5,27,12,18,31,12,13,13,8,42,56,18,12,29,21,13,16,21,14,48,32,14,20,18,15,9,18,40,23,56,6,16,9,19,32,15,23,22,9,24,32,26,21,29,16,12,30,21,14,1
"CAPZA1",5,7,2,2,5,0,3,1,3,0,6,4,0,1,9,0,1,3,0,1,6,1,4,2,16,10,23,2,8,8,29,2,2,5,5,4,3,4,9,1,8,7,11,4,6,9,3,20,4,7,9,9,15,25,16,5,18,13,10,1,8,6,18,31,5,22,3,3,4,5,18,11,26,6,11,3,7,27,6,7,7,1,22,11,12,10,5,6,7,6,12,11,2
"CAPZA2",0,5,0,1,1,1,5,0,1,0,2,5,1,1,1,4,2,1,1,2,2,0,0,4,9,2,9,1,5,14,21,4,0,5,9,5,0,1,4,5,5,3,3,2,3,3,2,4,6,1,5,5,8,8,7,2,10,15,5,4,8,6,10,8,5,2,9,5,3,4,10,17,12,5,6,3,13,11,5,6,7,3,7,16,5,11,3,2,5,3,8,6,1
"CSF2RA",2,0,0,2,1,0,2,0,1,0,3,2,0,0,0,2,1,1,0,0,2,0,0,12,2,2,5,0,5,2,8,1,1,2,3,3,1,0,6,2,2,3,13,1,6,4,2,13,7,6,3,0,9,20,10,1,4,2,7,1,2,8,11,26,6,12,6,3,0,0,4,4,5,2,4,3,6,5,2,6,4,1,4,4,11,3,1,2,0,9,7,8,1
"DYNC1LI2",4,8,2,3,3,4,5,4,2,3,4,8,1,1,5,2,2,3,3,2,7,5,7,2,13,9,22,6,7,18,15,6,0,6,10,11,2,7,3,4,3,3,6,2,7,5,5,17,6,5,2,11,7,27,9,1,9,9,8,5,5,7,15,13,8,9,4,6,5,5,20,18,31,5,7,8,8,19,5,6,8,5,19,23,12,8,8,13,9,11,13,3,2
"DNAJB1",1,6,0,3,2,3,3,2,3,1,5,9,4,14,4,3,2,4,1,0,1,1,3,3,2,3,5,4,5,5,15,0,1,2,12,5,0,1,5,6,5,1,46,5,9,6,2,2,0,4,4,5,89,32,5,1,3,7,1,2,3,3,140,15,5,5,2,8,3,4,17,13,24,4,4,3,6,8,2,7,8,7,13,14,6,6,5,2,5,12,9,1,3
"LASP1",33,7,7,7,2,7,5,11,7,5,14,5,1,4,7,3,11,7,3,4,7,1,4,9,8,32,40,9,13,13,110,9,1,11,56,6,1,5,7,13,14,4,21,2,6,7,7,16,5,13,8,9,34,24,16,4,16,18,14,9,32,10,51,30,2,28,10,4,7,12,29,27,71,7,14,73,19,15,12,8,20,5,24,22,12,10,149,6,9,33,8,11,4
"NEDD8",7,9,0,3,1,4,7,3,2,5,8,15,1,4,5,6,4,5,2,3,3,0,5,4,24,12,15,10,6,17,31,3,1,2,10,6,4,5,9,4,11,5,16,4,4,10,2,18,8,14,6,4,33,30,9,3,14,16,8,4,4,4,31,18,12,14,7,4,3,8,14,23,42,7,9,4,13,31,2,4,8,8,23,26,8,17,2,18,11,27,12,11,5
"NNMT",3,1,2,1,0,0,8,2,5,1,3,1,3,3,0,1,0,2,2,2,2,1,1,10,5,2,12,3,12,9,4,3,2,4,1,15,2,0,4,6,14,6,7,3,5,3,1,8,3,3,5,6,5,16,15,0,21,2,16,3,8,9,3,16,9,13,3,0,3,3,4,11,5,5,14,3,12,13,7,9,5,5,14,11,9,8,2,8,3,5,12,7,2
"NSF",1,0,0,2,3,2,5,2,3,3,1,4,0,2,1,1,1,2,2,0,0,2,1,1,8,7,7,1,4,10,11,1,0,0,6,2,2,1,1,2,2,0,10,4,6,3,1,4,2,9,2,5,14,11,9,0,4,6,2,3,1,2,38,12,5,6,1,0,2,4,5,3,18,0,5,0,4,10,1,3,4,1,10,10,4,1,1,4,1,3,4,0,1
"NUCB1",3,8,2,3,4,2,1,2,1,2,6,14,2,2,2,4,2,3,2,5,0,2,2,2,6,13,16,7,10,7,13,4,0,7,9,6,0,2,8,13,17,7,14,3,16,9,9,24,11,6,6,7,17,32,19,3,25,14,12,11,10,9,34,24,12,8,11,11,7,9,16,16,26,8,15,5,9,23,9,16,10,6,11,24,14,9,7,7,12,23,13,11,8
"NUMA1",5,5,0,6,1,1,3,4,3,0,4,16,1,2,4,0,2,2,4,3,3,0,3,3,12,10,20,5,6,15,25,2,4,3,10,6,6,3,7,8,3,1,10,0,10,12,8,8,7,5,5,4,16,36,5,8,5,23,8,7,8,5,38,11,14,5,6,7,6,6,15,15,38,4,6,6,12,16,3,10,5,7,15,19,10,8,15,8,8,24,9,6,8
"OAS3",1,1,2,5,4,2,19,1,3,0,3,9,3,1,0,3,3,2,1,5,2,2,6,8,4,6,25,4,3,8,12,2,3,3,12,5,1,2,4,1,16,1,6,1,1,5,0,6,2,1,11,3,6,6,10,3,4,3,7,2,29,2,3,12,0,9,3,4,2,8,14,6,17,9,7,6,18,24,4,4,11,7,20,6,25,6,7,3,14,15,4,5,1
"PCM1",1,2,1,2,1,0,1,0,2,1,2,8,1,1,1,2,0,2,3,0,1,1,2,2,6,8,6,5,4,6,7,3,0,2,8,6,5,2,4,5,3,3,7,0,4,3,5,3,3,4,2,3,14,9,3,4,5,12,3,3,2,4,8,5,8,8,8,4,2,8,11,16,15,3,5,6,11,1,4,6,5,4,11,36,10,7,0,5,3,5,6,5,1
"CDK16",4,8,5,3,1,7,5,0,3,1,9,12,1,3,5,0,5,4,2,2,4,1,3,4,20,6,15,7,4,29,30,1,3,6,14,12,5,2,5,3,7,5,12,5,4,9,5,9,6,7,4,3,13,19,11,3,15,22,11,1,8,0,19,13,16,12,1,7,5,6,22,15,28,1,14,6,7,14,5,18,14,6,17,21,11,12,11,21,14,20,9,8,4
"PDE4D",6,11,1,2,0,1,1,0,1,2,5,6,1,0,1,1,1,4,3,2,3,1,2,5,3,5,18,7,5,8,8,6,1,2,3,7,1,3,5,0,6,4,5,2,5,9,5,13,4,3,4,1,6,21,12,2,13,5,6,5,4,8,7,11,1,9,5,4,6,2,14,5,10,4,3,2,6,16,6,8,10,14,10,7,6,3,12,6,2,3,6,10,2
"PIK3CB",0,1,0,0,1,1,1,0,2,0,2,3,0,1,0,2,0,1,1,0,2,0,1,6,8,4,5,1,3,5,13,2,0,4,3,6,1,6,4,2,3,2,6,3,3,6,1,5,5,3,1,3,9,13,5,2,5,3,2,3,5,2,10,7,7,6,5,7,2,5,5,8,20,0,4,6,4,6,1,10,10,1,3,4,3,4,6,4,2,6,4,4,2
"PIN1",4,3,2,2,2,2,1,1,1,1,4,7,1,0,3,2,1,1,2,3,2,1,2,2,7,5,8,1,7,11,13,1,1,2,6,2,4,1,4,4,3,3,3,2,6,2,1,2,2,4,2,2,8,10,3,2,8,7,6,3,4,0,18,8,7,5,2,2,2,4,8,11,12,2,2,1,4,5,4,6,8,2,6,7,4,2,6,3,4,8,4,7,2
"PLTP",2,1,1,5,0,2,0,1,1,3,4,4,0,6,1,7,0,4,0,1,4,4,2,0,1,3,20,2,2,3,4,6,1,1,3,2,1,7,7,8,11,5,18,1,7,4,2,4,2,12,5,5,9,44,14,11,21,5,2,10,11,6,9,7,27,11,4,1,7,42,8,13,16,7,7,5,7,35,7,2,21,67,10,2,20,7,7,8,2,5,10,13,14
"POLD2",4,5,0,3,1,3,1,1,3,2,1,14,1,2,6,2,1,1,4,2,1,2,1,1,24,1,6,5,2,37,11,4,0,0,3,12,6,1,3,4,0,1,4,3,6,5,5,13,4,0,2,3,5,13,5,2,12,15,3,1,5,3,17,5,5,8,0,5,1,6,13,8,13,5,8,4,1,20,1,8,6,2,13,18,1,5,7,7,3,8,9,4,1
"POLR2I",3,5,1,4,1,3,4,1,3,1,1,14,3,3,7,7,3,1,2,0,4,0,4,1,28,2,29,6,7,30,26,7,3,4,5,15,5,6,1,6,4,2,7,1,3,2,16,13,1,1,1,6,14,18,8,3,15,10,10,4,3,3,25,12,15,5,3,9,2,2,13,10,33,2,10,3,14,16,3,15,5,8,6,6,7,2,9,11,5,8,5,7,1
"PPP1R2",2,2,1,4,1,1,2,0,0,2,1,4,2,1,2,0,2,3,0,2,0,0,3,2,3,4,5,0,2,4,11,0,0,1,5,12,2,1,3,2,4,1,3,3,7,6,3,7,4,4,3,0,16,15,9,5,4,4,5,1,4,5,10,7,4,2,3,1,1,5,13,10,11,1,1,2,4,2,2,7,4,2,6,6,2,2,2,5,3,6,9,4,1
"PRKAB1",2,3,3,2,0,3,8,0,0,3,2,4,1,1,5,3,1,0,2,1,0,0,4,2,2,4,27,1,5,7,10,1,0,4,4,3,1,5,1,3,4,1,8,1,5,3,5,4,2,3,1,6,10,14,13,0,4,2,3,3,1,0,10,12,2,5,4,5,3,2,13,7,33,3,4,2,10,7,5,5,11,4,6,14,10,8,5,3,7,8,3,2,1
"PRKCD",4,4,1,1,2,3,3,2,2,0,3,7,2,5,2,0,3,0,0,1,2,2,1,0,6,3,6,1,2,7,19,1,0,1,11,6,1,0,7,0,3,5,192,2,2,3,2,10,2,2,1,2,14,12,4,3,9,6,4,1,6,4,16,11,4,6,2,3,0,5,8,6,11,5,4,2,4,6,0,11,6,2,3,3,13,6,4,4,0,2,8,4,2
"PRKCH",3,3,2,2,0,0,1,1,2,3,3,2,1,1,2,1,0,1,0,1,2,1,1,5,3,2,4,4,7,3,7,3,2,5,6,4,3,0,11,7,5,2,12,1,3,5,0,13,4,7,3,4,10,23,4,3,2,8,3,1,14,6,15,5,2,15,4,3,5,8,7,5,10,3,3,3,11,11,1,2,11,4,7,8,5,4,3,1,6,8,2,4,1
"DNAJC3",0,5,1,3,1,2,4,2,0,2,3,5,1,1,0,2,1,1,1,0,2,1,2,0,8,4,6,2,3,11,9,0,0,5,4,3,2,1,3,2,4,2,9,3,5,2,6,28,2,3,1,5,9,14,17,3,20,1,3,6,6,4,15,23,2,10,2,5,1,4,9,11,21,3,3,1,5,11,6,7,6,3,6,26,11,6,6,6,4,7,10,6,2
"PSME1",3,9,3,2,2,5,4,0,4,2,9,9,2,2,2,2,7,1,2,2,2,3,4,5,8,7,16,5,6,20,31,2,4,11,13,10,1,2,9,3,11,0,6,2,4,19,0,19,9,5,8,5,14,19,18,1,25,18,8,7,8,14,23,40,1,21,12,6,5,19,24,21,32,10,2,7,4,16,8,7,21,5,20,31,12,6,5,8,9,16,10,13,1
"RAD21",9,4,1,3,3,6,8,1,4,0,8,26,5,5,18,4,2,2,3,4,5,4,11,7,66,9,12,28,2,116,38,1,5,2,14,22,16,2,14,4,7,2,12,4,46,5,11,13,3,5,7,9,16,69,12,4,8,19,9,4,4,5,27,17,26,14,4,9,4,8,15,14,160,7,12,3,7,70,1,7,13,5,22,19,16,14,1,10,4,18,9,6,1
"DPF2",5,1,2,5,2,3,6,1,2,1,7,1,0,2,1,0,1,3,0,4,1,1,2,2,1,7,2,5,3,6,10,1,0,1,10,3,1,0,4,2,0,1,8,4,4,6,7,10,1,0,3,2,5,10,8,2,6,3,8,2,4,3,8,12,7,5,2,3,5,7,10,3,31,1,4,2,6,9,2,5,7,4,19,10,6,4,2,0,10,9,5,5,1
"S100A1",3,14,0,2,1,1,8,0,3,0,3,13,1,1,0,3,0,0,3,1,1,2,28,0,2,2,6,23,2,4,3,1,5,0,0,1,0,1,2,1,1,0,19,3,2,10,4,3,1,0,1,1,27,10,3,8,2,9,2,2,0,1,62,2,20,4,6,35,0,3,5,7,57,2,4,3,4,2,3,59,1,0,5,15,11,3,4,8,1,5,3,5,4
"SRSF6",3,2,2,2,3,1,5,3,4,1,5,20,2,5,7,1,2,5,4,0,6,3,5,1,19,19,16,4,10,27,53,3,3,8,31,10,3,0,8,12,4,3,8,5,20,9,5,5,2,6,3,4,26,37,5,4,5,11,9,5,2,5,26,10,11,9,2,7,5,13,23,28,85,5,17,7,19,21,8,6,11,5,16,33,13,14,1,4,9,31,11,5,5
"ST3GAL4",2,0,0,1,0,11,0,1,4,1,1,6,3,0,7,1,2,4,0,3,1,0,1,1,6,3,29,0,0,8,9,4,0,2,9,0,2,4,2,3,4,2,3,0,4,1,11,2,1,2,0,5,4,8,3,5,2,1,3,6,1,2,8,4,26,2,3,3,2,2,8,4,68,4,6,4,8,13,4,11,3,3,10,2,7,3,6,35,7,5,7,2,4
"SSR4",1,13,4,6,11,5,5,2,2,3,10,29,2,7,15,6,3,7,14,1,3,1,1,7,31,12,68,3,9,39,39,9,0,5,25,38,6,8,9,14,20,17,30,9,5,4,15,117,11,14,9,65,31,31,223,10,71,19,10,14,12,17,68,185,11,45,4,15,9,6,56,22,94,14,14,15,16,131,6,19,19,8,35,41,26,16,11,20,11,18,44,7,14
"TACC1",4,0,1,1,0,1,2,2,3,1,5,8,1,0,2,0,1,2,2,3,1,3,2,4,7,3,7,3,1,10,9,2,4,6,5,7,2,2,4,10,3,1,14,0,10,4,4,4,3,9,2,2,8,19,8,9,4,7,5,8,5,2,12,12,6,8,7,3,5,13,16,15,9,2,3,5,6,11,6,11,12,19,12,2,10,8,12,4,9,14,10,12,1
"TAF10",6,7,1,9,2,2,1,2,6,1,1,15,3,4,15,1,4,1,4,1,1,3,3,4,22,2,28,4,4,20,14,5,3,4,5,4,2,6,11,5,5,4,16,1,5,12,8,19,7,5,4,7,24,18,24,3,16,8,9,4,5,5,45,22,12,15,8,10,5,11,23,34,66,3,11,7,8,23,8,13,12,6,24,27,10,11,6,10,13,12,13,13,4
"THY1",2,6,1,0,3,3,2,3,13,0,3,3,1,4,1,0,0,2,0,1,5,1,0,5,10,6,13,1,23,5,8,0,0,19,7,4,3,0,9,2,12,9,3,1,5,5,8,5,7,3,2,11,1,9,13,3,20,13,7,0,12,11,2,31,2,13,1,4,3,18,9,141,9,9,10,8,34,0,2,1,9,3,11,9,9,5,13,3,0,30,6,4,0
"TLN1",1,1,0,6,2,3,4,0,7,3,2,5,1,0,2,10,2,1,4,4,2,0,3,2,8,6,11,4,7,10,12,3,1,6,7,2,0,1,6,7,6,5,18,0,11,5,9,9,6,4,5,4,23,21,9,6,5,9,7,5,11,5,27,20,13,18,4,3,2,7,12,24,11,11,11,8,18,15,3,7,5,6,16,10,9,8,10,7,3,19,6,10,2
"TNFAIP3",1,4,2,3,1,0,1,0,1,0,2,6,1,1,0,2,0,0,0,5,6,1,3,18,9,2,6,3,11,8,4,1,4,4,1,9,0,2,21,0,10,10,20,1,10,1,2,12,17,3,11,3,13,21,18,3,21,0,21,0,14,17,5,22,5,33,7,6,7,7,6,8,7,5,8,2,4,11,3,18,5,13,5,8,9,6,3,9,3,3,5,6,4
"TNFAIP2",2,5,0,5,5,2,3,1,7,2,2,6,4,4,3,3,4,5,1,4,2,1,2,28,16,7,11,8,24,15,14,8,0,6,6,7,2,6,13,13,9,2,18,2,8,19,2,14,4,6,7,1,20,21,30,4,4,11,10,5,16,3,21,71,6,16,4,22,4,15,22,12,9,2,12,4,9,5,5,57,16,12,7,11,17,6,3,2,11,11,4,17,1
"TSG101",2,0,1,2,1,2,1,0,1,2,2,5,1,5,5,1,0,3,3,3,0,1,5,4,6,6,9,0,4,12,14,1,2,1,6,6,1,1,5,3,2,0,5,3,4,3,8,8,6,3,1,2,7,18,5,4,7,8,2,3,0,4,13,5,8,7,5,1,9,4,7,7,41,1,4,5,7,9,1,2,4,3,9,5,6,5,6,9,2,10,5,6,0
"ANP32A",7,5,2,4,1,5,1,0,2,2,5,18,0,1,3,1,0,0,4,0,2,1,3,2,10,8,4,5,1,15,22,1,0,9,8,4,0,4,3,4,2,7,6,2,8,5,5,11,4,6,2,4,17,16,4,1,12,15,7,2,4,7,21,15,9,9,4,4,3,7,29,16,20,8,5,4,6,15,4,2,8,2,22,21,4,7,8,2,7,5,9,8,1
"SMC1A",2,3,0,1,1,2,1,3,4,1,3,3,1,2,1,2,2,2,2,3,1,0,3,4,4,5,12,6,4,11,11,1,2,2,3,12,1,3,3,4,3,4,2,1,1,5,3,6,1,2,3,4,3,6,2,3,2,6,3,1,1,3,4,10,4,11,1,1,0,2,5,7,27,2,7,6,4,9,2,8,10,7,5,8,5,9,2,5,4,10,2,5,2
"NPEPPS",0,1,2,1,2,2,2,1,4,2,2,3,2,2,1,2,4,2,5,1,1,1,2,5,10,7,12,3,2,16,14,6,2,2,16,5,2,2,5,2,4,4,6,2,11,3,2,5,2,2,2,1,17,22,8,3,5,7,6,2,5,4,32,16,6,6,1,3,2,4,11,11,32,1,3,5,10,12,3,4,9,6,11,16,15,6,4,3,7,11,2,6,1
"NCOR1",1,1,0,1,3,1,5,1,1,0,2,6,2,2,1,3,0,2,0,2,3,0,2,1,4,3,6,3,3,0,4,0,2,0,5,3,0,2,2,2,3,0,8,2,2,5,8,4,3,3,5,3,14,11,8,1,3,3,7,3,4,2,17,10,2,5,3,2,2,5,14,9,25,3,6,2,2,11,0,4,13,2,7,6,8,2,3,5,4,8,6,7,3
"NCOR2",4,4,1,1,2,1,0,1,1,3,4,2,1,4,4,2,1,5,3,1,5,2,4,7,5,1,7,2,5,5,27,2,1,2,9,6,2,0,5,5,7,3,10,3,4,2,13,11,7,6,5,3,6,29,12,12,11,3,5,3,1,6,11,14,6,19,4,5,2,14,17,11,25,2,12,7,8,10,5,5,11,11,12,11,13,4,9,5,10,14,6,10,2
"PCGF3",1,6,1,1,3,1,3,2,3,0,5,7,1,0,4,2,3,2,2,1,1,3,7,0,3,8,13,11,4,9,17,2,0,3,5,7,1,1,2,5,5,4,7,2,5,12,4,8,4,3,2,7,6,69,1,7,2,8,6,5,8,2,12,6,6,6,1,4,1,5,11,8,16,4,4,1,10,8,5,9,8,2,9,14,5,6,10,6,6,11,7,4,2
"CDIPT",2,4,1,1,5,3,2,1,2,1,0,7,1,3,0,0,3,2,0,0,1,0,1,2,5,1,7,0,0,7,10,0,0,1,5,4,1,0,2,4,1,2,4,1,4,0,1,8,1,5,0,1,8,6,3,4,6,6,1,3,1,3,20,9,5,2,4,3,1,5,4,12,17,1,3,1,2,3,2,6,2,4,4,6,1,3,3,3,1,4,4,3,2
"PGRMC2",18,11,8,13,7,12,8,9,11,6,18,27,4,7,14,8,5,12,9,2,13,2,16,12,36,20,72,13,16,36,39,12,1,19,35,23,3,4,24,16,15,12,31,2,38,9,16,36,18,19,9,25,31,96,54,16,42,21,31,11,33,26,60,68,16,24,21,20,10,24,43,26,31,13,36,16,35,63,10,44,13,15,29,28,32,15,30,19,7,29,27,17,11
"ARIH2",3,3,0,1,3,2,0,1,3,0,2,10,0,0,5,2,1,3,1,3,2,2,2,2,9,5,6,5,2,13,13,2,0,2,7,7,2,2,2,7,4,3,10,0,4,1,1,10,3,1,0,5,9,19,9,5,5,7,4,2,5,5,24,11,4,3,3,6,2,6,15,5,14,0,9,4,5,14,8,4,9,6,7,19,7,5,4,4,7,13,4,7,0
"CFDP1",5,7,80,1,1,1,5,1,0,1,1,7,1,7,5,4,8,0,1,3,3,2,4,2,10,3,11,6,6,5,15,4,1,4,15,9,3,0,3,2,4,3,2,6,7,10,9,8,5,3,5,6,10,27,9,3,7,8,10,3,6,10,12,10,15,7,6,4,4,6,12,16,27,5,9,7,10,20,2,3,9,3,11,5,16,5,8,7,5,7,8,8,2
"RAN",8,4,2,2,6,5,4,2,3,3,4,6,4,2,12,3,5,2,1,3,5,0,4,5,22,5,12,11,5,25,32,1,0,3,17,10,4,2,12,6,7,4,14,5,7,11,16,30,10,7,7,10,18,26,14,4,27,10,15,4,10,7,22,29,8,20,3,5,5,7,21,22,69,7,8,5,7,41,7,16,10,5,16,38,7,16,4,14,5,13,12,8,0
"RBM14",1,2,0,1,2,0,1,1,1,0,1,3,0,1,1,0,0,1,0,1,2,0,6,4,5,3,0,3,3,9,20,3,1,0,6,3,1,0,5,5,0,0,5,3,4,5,5,9,0,2,2,1,4,9,0,3,3,2,2,2,4,2,5,6,7,3,5,3,2,7,8,6,23,1,4,0,4,4,0,3,6,2,5,3,9,4,4,7,3,7,3,3,2
"FBLN5",1,2,3,3,1,2,2,0,1,0,2,1,0,4,0,2,1,8,0,1,1,0,1,1,1,7,11,0,5,3,2,2,0,0,5,5,1,1,1,19,3,2,18,3,4,0,2,4,2,33,2,3,10,33,3,2,11,3,5,17,2,2,13,4,8,4,3,3,1,8,7,2,7,7,8,2,8,4,3,9,2,16,13,5,4,9,1,3,9,9,11,4,0
